Cell ID,Spot ID,80K Spots Position X,80K Spots Position Y,80K Spots Position Z
70,600000578,231.441,184.694,0.0998975
70,600000579,232.642,184.748,0.0998975
61,600000580,260.943,184.651,0.0998975
61,600000581,263.404,184.663,0.0998975
66,600000582,287.625,184.802,0.0998975
10,600000583,195.278,185.013,0.0998975
62,600000584,197.165,185.016,0.0998975
62,600000585,202.908,185.105,0.0998975
71,600000586,204.304,185.029,0.0998975
76,600000587,214.991,184.92,0.0998975
69,600000588,228.203,184.917,0.0998975
67,600000589,247.107,184.858,0.0998975
67,600000590,247.883,185.147,0.0998975
67,600000591,250.653,185.005,0.0998975
73,600000592,277.515,185.209,0.0998975
65,600000593,280.492,185.145,0.0998975
66,600000594,283.506,185.058,0.0998975
66,600000595,290.03,185.007,0.0998975
71,600000596,206.147,185.43,0.0998975
71,600000597,208.219,185.47,0.0998975
76,600000598,213.167,185.395,0.0998975
68,600000599,218.744,185.504,0.0998975
69,600000600,222.908,185.39,0.0998975
69,600000601,226.31,185.533,0.0998975
70,600000602,233.887,185.403,0.0998975
70,600000603,236.357,185.349,0.0998975
67,600000604,244.494,185.268,0.0998975
75,600000605,259.314,185.379,0.0998975
61,600000606,260.019,185.446,0.0998975
64,600000607,266.035,185.299,0.0998975
66,600000608,286.656,185.473,0.0998975
66,600000609,288.842,185.428,0.0998975
1,600000610,194.142,185.792,0.0998975
71,600000611,209.485,185.796,0.0998975
68,600000612,220.671,185.919,0.0998975
70,600000613,229.653,185.609,0.0998975
72,600000614,238.611,185.621,0.0998975
72,600000615,243.199,185.859,0.0998975
67,600000616,249.445,185.803,0.0998975
75,600000617,257.473,185.728,0.0998975
77,600000618,263.816,185.978,0.0998975
73,600000619,277.202,185.821,0.0998975
73,600000620,278.7,185.678,0.0998975
62,600000621,198.306,186.324,0.0998975
71,600000622,203.319,186.099,0.0998975
71,600000623,207.865,186.228,0.0998975
76,600000624,211.586,186.197,0.0998975
76,600000625,213.829,186.207,0.0998975
69,600000626,224.772,186.05,0.0998975
70,600000627,230.496,186.162,0.0998975
70,600000628,231.232,186.133,0.0998975
70,600000629,232.291,186.143,0.0998975
72,600000630,240.45,186.153,0.0998975
67,600000631,246.88,186.293,0.0998975
64,600000632,268.36,186.176,0.0998975
74,600000633,270.712,186.048,0.0998975
65,600000634,279.658,186.156,0.0998975
78,600000635,285.486,186.104,0.0998975
66,600000636,290.517,186.335,0.0998975
79,600000637,200.957,186.408,0.0998975
62,600000638,202.379,186.636,0.0998975
68,600000639,220.235,186.701,0.0998975
70,600000640,234.267,186.567,0.0998975
67,600000641,245.843,186.46,0.0998975
75,600000642,258.811,186.435,0.0998975
71,600000643,207.765,186.908,0.0998975
72,600000644,239.736,186.932,0.0998975
72,600000645,241.257,186.906,0.0998975
75,600000646,255.851,186.802,0.0998975
