Cell_ID,Centroid,Cell Position X,Cell Position Y,Fano factor,PV,NV
1193,81,406.838,246.827,4.026086957,0.222891566,0.096354167
1194,42,416.716,248.387,8.49936143,0.214646465,0.073784722
1195,8,421.953,247.641,14.8446281,0.423809524,0.092708333
1196,91,396.56,247.829,2.788087056,0.134353741,0.068576389
1197,0,450.003,247.69,0,0,0
1198,0,471.785,247.094,0,0,0
1199,0,461.266,248.503,0,0,0
1200,44,411.795,251.102,4.576992754,0.156378601,0.065972222
1201,81,401.844,250.434,4.302857143,0.183035714,0.091517857
1202,2,427.727,250.21,9.952380952,0.26,0.033854167
1203,0,455.102,250.855,0,0,0
1204,0,443.91,251.29,0,0,0
1205,52,406.755,251.925,4.7,0.212345679,0.089583333
1206,0,438.35,251.321,4,0.2,0.004166667
1207,78,391.29,251.973,1.316314554,0.100694444,0.050347222
1208,96,397.048,252.872,2.662711864,0.216666667,0.108333333
1209,25,421.01,252.507,15.10677083,0.424603175,0.092881944
