Cell_ID,Cell Position X,Cell Position Y,Centroid,Fano factor,PV,NV
487,291.831,254.174,124,2.040243902,0.151937984,0.125641026
488,293.379,258.791,106,3.856514788,0.134615385,0.134615385
489,293.31,266.627,79,5.737891738,0.284188034,0.284188034
490,292.309,271.309,130,4.027366532,0.214102564,0.178418803
491,291.757,276.413,98,3.232926829,0.156923077,0.130769231
492,294.02,281.113,104,2.308978032,0.106770833,0.087606838
493,290.617,285.101,90,1.845563549,0.084635417,0.069444444
494,294.269,288.954,97,0.714003945,0.071212121,0.050213675
495,204.174,294.129,0,0,0,0
496,208.533,290.509,0,1,0,0.001282051
497,212.407,294.144,0,4.125,0,0.004807692
498,218.876,292.583,5,3.625,0.9,0.028846154
499,225.192,290.447,3,2.027777778,0.357142857,0.016025641
500,235.577,291.36,10,6.525993884,0.306451613,0.060897436
501,241.295,290.181,31,8.73962804,0.241935484,0.096153846
502,245.304,294.241,40,10.76102564,0.214015152,0.120726496
503,257.82,292.096,131,5.010018553,0.303162486,0.254578755
504,263.486,293.548,107,4.686997035,0.147058824,0.128205128
505,268.88,293.677,112,2.564912281,0.105882353,0.092307692
506,291.749,293.45,106,0.566666667,0.113207547,0.076923077
507,294.717,233.201,96,1.416407061,0.101587302,0.068376068
508,293.467,249.314,108,1.627870289,0.093317972,0.074175824
509,204.457,197.907,1,0.4,0.2,0.002564103
510,198.354,198.256,0,1.083333333,0,0.004273504
511,262.278,197.938,89,1.047070125,0.10380117,0.075854701
512,230.898,199.219,12,5.446298227,0.218253968,0.0503663
513,273.496,198.769,69,2.708581436,0.275438596,0.201282051
514,237.088,199.909,36,14.79180887,0.293248945,0.148504274
515,279.433,200.627,94,3.542540074,0.136212625,0.112637363
516,256.689,200.648,91,1.224875622,0.087797619,0.063034188
517,209.207,201.382,1,0.444444444,0.333333333,0.004273504
518,244.567,200.839,79,9.10483871,0.237421384,0.161324786
519,267.455,200.962,94,2.616908213,0.134502924,0.098290598
520,215.433,202.592,2,2.507246377,0.3125,0.016025641
521,222.389,203.083,8,1.896103896,0.285714286,0.023809524
522,289.628,202.832,95,1.563803979,0.094017094,0.070512821
523,250.555,203.498,106,2.998877666,0.232704403,0.158119658
524,228.364,204.667,13,2.122891566,0.2,0.029487179
525,203.612,204.928,2,0.885714286,0,0.01007326
526,262.552,205.661,112,1.375445898,0.186383929,0.133814103
527,274.762,204.258,110,3.126245847,0.127353267,0.105311355
528,283.952,205.302,117,2.1732015,0.135105205,0.111721612
